地名名稱,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名類型,地名意義,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,地圖座標(橫坐標),地圖座標(縱坐標),地名年代時間(起),地名年代時間(迄),漢語拼音,通用拼音
石龜坑,,桃園縣,大溪鎮,"復興里,",小地名,坑是指山間匯水而流下的小溝。俗語稱它為坑溝，坑也含有山谷之義。（台灣地名研究）「住於現在楊家後面，是湳溝新聚落的入口處也就是下尾仔張家屋後的坑各入口處……」（大溪風情－廖明進）,,,,１、光復前大正九年（西元1920年）行政區新竹州大溪郡大溪街三層大字石龜坑小字。(日治時期戶籍登記法律及用語編譯)２、民國九年（日大正９年）九月至民國３４年（日昭和２０年）１０月行政區新竹州大溪郡番地轄內。(桃園縣志卷三政事志民政篇)３、戶籍有石龜坑小地名，地籍段落三層段八結小段。,公車站牌（台七線省道邊）有石龜坑站牌，石龜坑溝邊有桃118線縣道沿坑溝可達白石山。張家三合院（外婆橋客家菜）前面可看到一形狀像烏龜的小山，頭向台七線。楊家房子後面的石壁現在長滿雜草，楊家主人說有時候石塊會掉落，影響住的安全。,,121.30786296112,24.834516733901,n,迄今,Shiguikeng,Shihgueikeng
二層坪,,桃園縣,大溪鎮,"復興里,",小地名,１、為二級河階（我家鄉桃園縣桃園文獻第二期）。２、復興鄉羅浮以北至石門大壩之間，大漢溪折向西流，在石門水庫兩側形成角板山河階群之一。（桃園縣復興鄉地形地質景觀資源賞析）３、早期人們常利用平坦的河階面建立村莊，開闢農地因此有許多地名都取名為「坪」意思即是「高而平坦的河階地」。（和河川做朋友）４、原泰雅族居地，為漢人的命名，坪為高於水面之河階，頂上相當平坦可營居而得名。（我家鄉桃園縣桃園文獻第二期）,,,,１、民國九年（日大正９年）９月至民國３４年（日昭和２０年）１０月行政區新竹州大溪郡番地轄內。（桃園縣志卷三政事志民政篇）２、離河床高度６５公尺～９５公尺，海拔高度３１０－３４０公尺，３５０－３７０公尺。（我家鄉桃園縣，桃園文獻第二期）３、地籍段落三層段阿姆坪子段。,桃６３線道邊，有以車站牌“二層坪”。,,121.29283897833,24.818020923368,n,迄今,Ercengping,Ercengping
水井,（下水井）下（落台語音）,桃園縣,大溪鎮,"復興里,",小地名,同安縣志如此的記載「陂、塘、井等皆供水利灌溉之便」。（台灣地名研究）下水井原泰雅族居地為漢人所命名，坪為高於水面之河階，頂上相當平坦可營居而得名。（我家鄉桃園縣桃園文獻第二期）下水井是墾民當年建村挖井之處，後來墾至溪邊處續挖，故名（我家鄉桃園縣，桃園文獻第二期）,,,,１、光復前大正九年（西元1920年）行政區新竹州大溪郡大溪街三層字下水井小字。（日治時期戶籍登記法律及用語編譯）２、下水井民國九年（日大正九年）九月至民國３４年（日昭和２０年）１０月行政區新州大溪郡番地轄內。（桃園縣志卷三政事志民政篇）３、戶籍上有水井地名，地籍段落三層段柑坪小段。,環湖道邊有公車站牌“水井”，墾民為生活上之需而開的水源，有上水井，下水井，上水井在石門苗圃附近，下水井就在公車站牌下邊有一深井現仍有水源，年久失修，但已被雜物、雜草淹沒。,,121.26727906643,24.820113781929,n,迄今,Shuijing,Shueijing
石門,,桃園縣,大溪鎮,"義和里,",,兩座山，前後結合遠看似山門。,[漳]閩南,,,溪洲山脈從大溪鎮延長至龍潭鄉，復因溪洲山和石門山均標高500餘公尺，隔溪對立，形成石門峽谷，今日大之壩之所在。（桃園文獻）。,位於石門水庫，一座龍潭連致關西，一座則從龍珠灣連至大溪結於石門水庫，呈前後關係中間河道通過，遠看似山門顧而名義為石門。,,121.24049728442,24.810806743191,日治,迄今,Shihmen,Shihmen
百吉隧道,八結隧道,桃園縣,大溪鎮,"復興里,",隧道,百吉隧道因是戰時開的，沒有拱石，洞內任其風化剝落，有一段很長時間是封閉的，只好走高台的湳仔溝舊車路。重修後，那時黃杰任省主席在隧道門口題了「百吉隧道」四個字，八結庄民看了覺得百吉兩個字不錯比心月千千結的八結好，李銘傳先生就在里民大會中提案，把八結改成百吉了。（大溪風情，廖明進著）北橫公路修建時，山下新鑿八結至洞口間直通隧洞，蔣公為此命名，「百吉隧道」從此八結也改稱百吉。（我家鄉桃園縣桃園文獻第二期）,,,,隧道設計者，也是現場技師為竹東人楊文水先生。民國３３年百吉隧道開通（大溪風情，廖明進著）,台七線道復興鄉大溪鎮北橫公路通道，舊隧道屬單車道無法會車為疏解交通並因隧道舊，為安全起見公路局在舊隧道邊另建一新雙線隧道，８３年通車。,,121.30350384575,24.834081141779,民國61年,迄今,"Baiji Tunnel","Baiji Tunnel"
高台,宮之台,桃園縣,大溪鎮,"復興里,",,日本大正年間，日本皇室遊台灣成為時尚，日本昭和天皇的弟弟秩父宮親王來台，輕便車伕稱讚其仁慈，宮之台字，是來的秩父宮親王的宮了。（大溪風情廖明進著）當時北橫公路未築，舊有公路係由日據時台車道改成，台車通過高嶺修有狹窄隧道地名乃稱洞口，公路須繞登山頂而過，嶺上稱「宮子台」清代首任台灣巡撫劉銘傳入山撫番，即在此觸動角板山命名之美感。（我家鄉桃園縣，桃園文獻第二期）,,,,,桃118縣道頂端平台，種植小花，平台寬闊。,,121.30373613943,24.833814136862,日據,迄今,Gaotai,Gaotai
三民,水流東,桃園縣,大溪鎮,"新峰里,",村落,此區域本名為「水流東」，但因為國民政府政令宣導習慣，故以國家意識形態另外命名之。,,,,由於位處交通要道集匯點，自大溪街來，往復興鄉去，亦可轉向三峽，在日治時期1897年，「桃園輕便鐵道株式會社」開通輕便鐵自桃園郡開道至大溪街，再爬升三層崎到三層庄（三層），經頭寮、猴洞坑、牛角湳（慈湖）、湳仔溝（百吉隧道）、八結（百吉）到水流東（三民），迄今正好一百年整，非常要緊的是輕便鐵道來到三民之後分叉為二路，一條往復興鄉，另一條往三峽，這是由於「三井株式會社」參與水流東開發，使輕便鐵繞道不經大溪街而直取三峽，這對大溪運輸地位有相當的衝擊。,,,121.33008962162,24.831598453288,,,Sanmin,Sanmin
新峰,,桃園縣,大溪鎮,"新峰里,",,,,,,新峰為處於山區，舊時物資十分充沛，地面上有樟樹林立，地面下有煤礦礦脈，所以新峰山林區域到處都有「腦寮」與「碳礦」，時至光復初期，山林砍伐更為加速，樟樹砍伐殆盡，煤礦業也因礦脈日漸枯竭而逐漸荒廢，目前兩項完全消失，剩下的只有穿梭於山林小徑間的古道。,,,121.34154104142,24.84265000666,,,"Xin Peak","Sin Peak"
石壁腳,,桃園縣,大溪鎮,"新峰里,",小地名,位於八結（今稱百吉）區域，顧名思義，在附近有石壁之處，其實「石壁腳」名稱到處都有。,,,位於八結（今稱百吉）區域。,位於八結（今稱百吉）區域，顧名思義，在附近有石壁之處，其實「石壁腳」名稱到處都有，例如位於「月眉下屯仔」也有「石壁腳」。,,,121.32801877653,24.843108010578,,,Shibijiao,Shihbijiao
花草林,,桃園縣,大溪鎮,"新峰里,",小地名,由於林間花草樹木茂盛，路人便以花草木名之，只是圖個便利稱呼而已。,,,,白石山腳區域，由於白石山腳下有山路連結「水流東」到「烏土窟」，就是從山裡到三峽不需要繞道大溪街上，所以沿路就是出許多地名，另外也因為沿路煤礦礦坑數量頗多，礦工經由此道往來頻繁。,,,121.33729193277,24.851764943937,,,Huacaolin,Huacaolin
分水崙,,桃園縣,大溪鎮,"新峰里,",小地名,「分水崙」在大溪至少有兩處，另一處在「烏土窟庄」，「分水崙」顧名思義是位於兩條水流交匯出之山嶺。,,,,,,,121.33688776915,24.84635666351,,,Fenshuilun,Fenshueilun
向天坡,,桃園縣,大溪鎮,"新峰里,",平原,,,,,位處於大溪與三峽交界區域，也是在「鳥嘴尖」山下之高地。,,,121.34974712974,24.850691611064,,,Xiangtianpo,Siangtianpo
吊橋頭,,桃園縣,大溪鎮,"新峰里,",區域村落,此處原無地名，後來因為溪流跨距較短處架設吊橋，因而得名。,,,,,,,121.34611971629,24.85082513654,,,Diaociaotou,Diaociaotou
腦窟寮,,桃園縣,大溪鎮,"新峰里,",村落,「腦窟寮」顧名思義是採樟製「樟腦」的「樟腦加工區」。,,,,「腦窟寮」顧名思義是採樟製「樟腦」的「樟腦加工區」，這也意味著附近一帶樟樹資源豐富，由於接近三峽交界，所生產的樟腦可從此直達三峽，不需經過大溪，如此縮短相當的運輸過程。,,,121.32184280041,24.833270195953,,,Naokuliao,Naokuliao
水流東,三民,桃園縣,大溪鎮,"新峰里,",村落,此區域本名為「水流東」，但因為國民政府政令宣導習慣，故以國家意識形態另外命名為「三民」。,,,,由於位處交通要道集匯點，自大溪街來，往復興鄉去，亦可轉向三峽，在日治時期1897年，「桃園輕便鐵道株式會社」開通輕便鐵自桃園郡開道至大溪街，再爬升三層崎到三層庄（三層），經頭寮、猴洞坑、牛角湳（慈湖）、湳仔溝（百吉隧道）、八結（百吉）到水流東（三民），迄今正好一百年整，非常要緊的是輕便鐵道來到三民之後分叉為二路，一條往復興鄉，另一條往三峽，這是由於「三井株式會社」參與水流東開發，使輕便鐵繞道不經大溪街而直取三峽，這對大溪運輸地位有相當的衝擊。,,,121.3314184575,24.836646287495,,,Shuiliudong,Shueilioudong
八甲二,,桃園縣,大溪鎮,"中新里,",,林姓的田地有八甲二,,,,,"1.位在中寮島都姓林的田有八甲二。2.我的祖先第12代來台就在這裡到現在已是第18,19代.做的田地有八甲二,向林本源租的地.幾十年年一次大颱風把這裡的田地淹沒,很多人搬到上面,我們那裡比較高沒淹到.現在種韭菜。",,121.25525584026,24.906883267082,清,迄今,Bajia-er,Bajia-er
中寮,,桃園縣,大溪鎮,"中新里,",村落,一個島兩邊是溪,閩南泉州,,,,"1.位在中寮島都姓陳,以前都是稻田,20年前改種韭菜區。2.有30多戶都姓陳同一個祖先.來台已經是第八代最初是搭草寮,開墾地越作越廣,溪水較淺時也會潦溪過去做山.後來建正身兩護龍,現在正廳已重蓋,其它也都倒了.聽老一輩的人說過以前有番仔從對面山過來殺人,所以房子有槍孔.以前靠水運把米運到台北板橋都走帆船。",,121.26660072439,24.920324654242,n,迄今,Jhongliao,Jhongliao
崁頭,,桃園縣,大溪鎮,"中新里,",,位在河床地上方的渡船口,,,,,"1有台階下去,是以前的渡船頭,再坐船到中寮,八甲二.現在有橋可以過.以前八德的貨都要從這裡出入,從艋舺新莊用帆船載貨到這裡,再用挑夫挑上去半坪山到更寮腳再到八德.以前走另一條路很小像田埂後來建軍用機場改道.",,121.26878961037,24.918899020037,n,迄今,Kantou,Kantou
中庄,,桃園縣,大溪鎮,"中新里,",,1因地當鶯歌石與大嵙崁中途故村落稱中莊.,閩南,,,"1大漢溪西岸後負八德台地,亦為淡水河運中途要站.溪中沙洲遍布現多成農田.本屬鶯歌民國9年才歸大溪.-桃園文獻2大嵙崁水運昌隆時往來艋舺,回航時逆風逆水,第二晚在中庄停泊,中庄舊碼頭是中繼站桅帆林立熱鬧非凡.-崁津五十一/劉慶茂校長","1以前中庄很熱鬧八德的貨都要從這裡出入,連對面山的台北縣也到這裡買貨比較近,店仔很多間現在店仔厝還在都關起來.日據時代最熱鬧店仔四~五間,大尖湖茅埔都坐船到中庄,要換兩次船,因為要經過中寮島上岸再坐船到中庄.後來還有輕便車載貨載人到鶯歌.車站在舊農會那裡.2中庄街仔以前有雜貨店/布店/(米嘎)碾米廠兩間/還有撞球.聽說以前有土匪到日據初期還有,所以現在派出所旁一間柑仔店的房子有槍孔,房子已經倒了.3在日據昭和年代,中庄和內柵是大溪街的示範社區,改革的模範,因為以前沒有亭仔腳,柱子都是洗石子，費用要自己出。那時候員樹林還輸慘慘。",,121.26230556473,24.91508280632,n,迄今,Zhongzhuang,Jhongjhuang
中庄山腳,,桃園縣,大溪鎮,"中新里,",,山腳下的聚落,閩南,,,,"更寮腳下來的山腳下很多人蓋房子住在那裡,因為他們耕種田地也在那裡。",,121.26532852539,24.914281554722,n,迄今,Zhongzhuangshanjiao,Jhongjhuangshanjiao
竹圍仔,,桃園縣,大溪鎮,"中新里,",,種很多麻竹擋風,閩南,,,,"1.與鶯歌為界,以前種很多.日本時代種麻竹擋風,農家四周圍都種竹擋風。2.與中庄街相連。",,121.31993558281,24.933068840607,清,迄今,Zhuweizai,Jhuweizai
中寮八甲,五番地,桃園縣,大溪鎮,"中新里,",,,,,,,"1沒有中寮八甲,應該是指五番地,位在三峽與鶯歌界,現在三峽水廠的一部分,大都姓鄭.",,121.26504143373,24.904670221436,清,迄今,"Jhongliao Bajia","Jhongliao Bajia"
中圳,,桃園縣,大溪鎮,"中新里,",,1中寮島上的灌溉水圳,,,,,"1從八甲二再上去到水頭往大溪方向,有一條灌溉水圳就是中圳,是八甲二的水頭.",,121.25592250961,24.88984245835,n,迄今,"Zhong Canal","Jhong Canal"
中庄下崁,,桃園縣,大溪鎮,"中新里,",,1.從崁頭過了橋下來都叫中庄下崁.,閩南,,,,"1八甲二和中寮統稱中庄下崁,相對於崁頭的位置一高一低.八甲二都姓林,中寮都姓陳.以前都是稻田, 幾十年前已改種為韭菜專業區.2從崁頭過了橋下來都叫中庄下崁,就是八甲二,中寮,中溪洲.以前有種稻,30年前改種韭菜.以前溪淺時潦溪過茅埔種番薯,土豆. ",,121.26143951731,24.888016384286,清,迄今,Zhongzhuangxiakan,Jhongjhuangsiakan
中寮島,,桃園縣,大溪鎮,"中新里,",,1被大漢溪兩邊包圍而成的溪中之島.,閩南,,,,"1被大漢溪兩邊包圍的區域,包括八甲二/中寮/中庄下崁/中溪洲/中圳要坐竹排渡船過去,現在有橋. 2中寮是一個島兩邊是溪,以前有4鄰.姓林的有20多戶,姓鄭的有1~20戶,姓陳的有30戶有,其他的姓王姓范姓呂有10多戶.",,121.26201331035,24.902925733009,清,迄今,"Jhongliao Island","Jhongliao Island"
公館,,桃園縣,大溪鎮,"瑞興里,",,林本源收租館,閩南,,,"1.清代大租戶林本源在此收租存稻米的地方稱為公館就是收租館.-縣政府/我的家鄉。2.早期未設學校,學生各自選校有到三峽/鶯歌/八德/大溪公學校就讀,路途遙遠交通不變,當時街長江建臣暫借公館廟上課,民國10年設立員樹林公學校溪西公學校今中興國小.-崁津五十一/劉慶茂校長。","1.林本源的收租館,包括缺仔/栗仔園/中庄。2.林本源放稻穀的倉庫有專人在管理.正身護龍建築,門樓還在。3.公館的廟邊以前有兩間店仔,其中一間有收音機,當時不是一般人買得起.廟是拜三界公,每年有兩次慶典,正月14和八月14.尤其正月初十起連續五天作戲,初十/十一龜戲,十二豬公戲,十三龜戲,十四平安戲,十五大龜戲,100多斤,有平沙龜/米糕龜/糕仔龜,都是爐主作的.現在還是這樣慶祝.以前是野台戲沒有戲台,鶯歌才有。",,121.30154184898,24.919411229439,清,迄今,Gongguan,Gongguan
長崎腳,缺仔,桃園縣,大溪鎮,"瑞興里,",,"1道路由上而下為減坡度,拉得很長",閩南,,,"1長崎腳在崎頂下方,道路由上而下為減坡度拉得很長,故名長崎腳.-回首大嵙崁/縣文化中心","1從桃大公路松樹腳旁有一條便道下去到缺仔.2武嶺橋頭往桃園要爬長坡到崎頂,另一條往鶯歌在它的下方也就是長崎的下方,所以叫長崎腳.那裡就是缺仔也有一條長坡路上到崎頂.",,121.28900994747,24.903534725701,n,迄今,Changqijiao,Changcijiao
五甲,,桃園縣,大溪鎮,"瑞興里,",,耕地面積五甲地,,,,,"1五甲就是5鄰2以前的頭家耕地面積五甲地,後來都放領,有寫[五甲]的站牌.",,121.29770515409,24.912639110526,清,迄今,Wujia,Wujia
十甲,,桃園縣,大溪鎮,"瑞興里,",,耕地面積十甲地,,,,,"1十甲就是10鄰2以前是姓呂的有十甲地. 3位在五甲和永安橋中間,以前的頭家耕地面積十甲地,後來都放領.",,121.29758632012,24.911416339599,n,迄今,Shijia,Shihjia
下崁,缺仔下崁,桃園縣,大溪鎮,"瑞興里,",小地名,最低的地方,閩南,,,,"永安橋這裡就叫下崁,不管從長崎腳那邊下來或是從另一邊公館下來這裡都是最低.高速公路那裡比較高叫二沿崁.",,121.29622877507,24.909129049868,n,迄今,Xiakan,Siakan
缺仔,,桃園縣,大溪鎮,"瑞興里,",小地名,階崖呈現出切斷凹下地形,,,,"1.今瑞興里,是大漢溪左岸第二段河階靠北的一段,與月眉相對.由於內緣緊靠桃園台地面,兩地形之間的階崖呈現切斷凹下的地形,[缺仔]就是因此而得名.-縣政府/我的家鄉。2.[..至於缺仔庄以至栗仔園庄,則係漳人蕭朝宣於前二三年(乾隆20餘年)之頃先為著手也]-大嵙崁沿革誌/廖希珍。",長崎腳那裡就是缺仔.,,121.2705187543,24.886455908525,n,迄今,Quezai,Cyuezai
吳厝,,桃園縣,大溪鎮,"瑞興里,",小地名,都姓吳的聚落,,,,,"1住那裡都姓吳,本源開墾前親兄弟一起來住.2吳厝有兩個一個在埔尾,一個在長崎腳過來崁下轉彎的地方,那一帶都姓吳以前吳聰智里長的阿公就已經住在那裡活到100多歲.",,121.27490954874,24.883344233585,n,迄今,Wucuo,Wucuo
栗仔園,黍仔園,桃園縣,大溪鎮,"瑞興里,",小地名,"1溪洲地蘆韋滿布疑似栗仔因稱栗仔園.-回首大嵙崁/縣文化中心 *有待查證* 。2.原住民種的小粟米",,,,"1.御成古道建於乾隆53年,為當時大溪/龍潭/關西/竹東甚至南庄,挑貨到碼頭往來要道.大正12年裕仁太子來台時修築,命名[御成路]恭迎之意.-崁津五十一/劉慶茂校。2.御成古道中段有一座供養塔,供奉紀念建桃園大圳犧牲的英靈.-大溪風情/廖明進校長。3.[..至於缺仔庄以至栗仔園庄,則係漳人蕭朝宣於前二三年(乾隆20餘年)之頃先為著手也]-大嵙崁沿革誌/廖希珍。4.[..林祿向霄裡社給出黍仔園一帶埔地.]-張朝博中原大學碩士論文88年/引用台灣總督府<高等林野調查委員會公文類纂>。",,,121.28075380196,24.890930704503,n,迄今,Lizaiyuan,Lizaiyuan
下館,下公館,桃園縣,大溪鎮,"瑞興里,",小地名,當年林本源收租儲穀的地方,閩南,,,下公館或稱下館當年林本源收租儲穀的地方,"長崎腳這邊都是本源的田,林厝在管。",,121.25627713537,24.871453727838,n,迄今,Xiaguan,Siaguan
山腳,下山腳,桃園縣,大溪鎮,"瑞興里,",小地名,和頂山腳相對的稱呼,,,,,"1.排水路下去到一鄰都叫山腳,上面是僑愛.以前沒水圳都是撿泉水。2.以前水段有分頂山腳段/下山腳段.現在鶯歌二橋以前的水源還是從這裡引過去。 3.從松樹腳下來的長崎腳再過去都叫山腳。",,121.261958531,24.872010999433,n,迄今,Shanjiao,Shanjiao
仁善,,桃園縣,大溪鎮,"仁善里,",?,,閩南,,,"1.經過一再分里,今之仁善只剩下廟後之地及埔頂廟以北,包括三塊厝和部分[松樹]還有西北社角一部分。三塊厝西鄰南興為施姓所闢原為農業區現有不少工廠.松樹靠近桃大公路,人口較稠以趙姓為多.[榕樹]台語唸[情樹]國字卻是[松樹]。-桃園文獻","1.原來只有一里仁善里,後來分出仁愛里/仁義里/仁和里/仁武里/人文里。2.我們這裡是仁善(西北靠近社角),又叫三佃厝,有姓游姓王..三戶田佃。",,121.25087470176,24.876881115299,,迄今,Renshan,Renshan
松樹腳,,桃園縣,大溪鎮,"仁善里,",小地名,以前有種松樹故名,閩南,,,,"1以前松樹腳派出所旁邊有種松樹,日據時代路很小條.",,121.25638586878,24.879220967358,,迄今,Songshujiao,Songshujiao
下坑尾(下坑),無尾坑仔,桃園縣,大溪鎮,"仁善里,",小地名,意思是盡頭到底了,閩南,,,,"僑愛靠近下崁那邊以前叫坑尾又叫無尾坑仔,意思是盡頭到底了,那裡有一條路下去公館,現在那裡也蓋了很多房子.",,121.2642824877,24.873382815853,n,迄今,"Xiakengwei (Xiakeng )","Siakengwei (Siakeng )"
埔頂,,桃園縣,大溪鎮,"仁和里,",小地名,1.高地上一片長草的荒野。2.埔頂就是蟠龍崎的最上面。,"閩南,客語",,,"就是仁善/仁愛/仁義三里,(現又分出仁和/仁武/仁文三里).位在大漢溪左岸桃園台地.開墾初期水利設施較差,全是一片長草荒野,台語稱呼”埔”,埔頂意指高地上的荒野。-縣府/我的家鄉","大溪往中壢有一家萬里香豆干店那裡就是埔頂,一半是崎頂一半是埔頂,所以我們這間廟叫埔頂仁和宮.埔頂就是蟠龍崎的最上面,以前霄裡/南興/埔頂的人挑東西到大溪都要走這條路.運炭車輕便路就在邱正吉家那裡(今武嶺橋頭旁)有一條流籠拖到埔頂.",,121.29324596976,24.922841561222,n,迄今,Puding,Puding
蟠龍崎,鋪路崎,桃園縣,大溪鎮,"仁和里,",古道,"1山頂像一條龍,崎從山頂蟠過去2用石頭鋪很平",,,,"1昔時大溪往河西埔頂古道,在桃大公路崎頂上坡中段處,今行走人不多.-崁津五十一/劉慶茂校長","1是埔頂要下到大溪最早的第一條崎,山頂像一條龍,崎從山頂蟠過去.2以前叫鋪路崎是用石頭鋪很平.3用石頭鋪的我們叫鋪路崎,沒有說蟠龍崎.以前到大溪都要走這條路",,121.26781439952,24.882374813938,,迄今,"Pan Longci","Pan Longci"
埔頂頂,埔頂,桃園縣,大溪鎮,"仁和里,",小地名,從蟠龍崎上到埔頂的最上面的地方.,,,,,1從蟠龍崎上到埔頂的最上面的地方.2沒聽過埔頂頂應該就是埔頂.,,121.27991237202,24.895268762106,n,,Pudingding,Pudingding
仁里(無此地名),仁善里,桃園縣,大溪鎮,,小地名,,,,,,"1原來只有一里仁善里,後來分出仁愛里/仁義里/仁和里/仁武里/人文里.",,121.27298879325,24.904631632391,,,"Renli(Wucidiming )","Renli(Wucihdiming )"
仁武,,桃園縣,大溪鎮,"仁武里,",?,自仁愛里分出,,,,"1原為仁愛里東半,為茶園公墓與荒地.民國53年金門防衛部在此建立軍官眷村稱太武新村,以後陸續有新村建立.民國71年自仁愛里分出一里.-桃園文獻","以前那裡是茶園,因為有四區茶園連在一起又叫四區連.",,121.26137827864,24.928155205479,民國71年,迄今,Renwu,Renwu
崎頂,,桃園縣,大溪鎮,"仁文里,",?,崎頂就是階崖上方而名,,,,"由大溪往桃園的台四線過了武嶺橋開始爬坡就是河階第二階和第三階的階崖,崎頂就是階崖上方而名.-縣府/我的家鄉",,,121.28343611288,24.899077788015,,,Qiding,Ciding
老街,,桃園縣,楊梅鎮,,聚落,因地區開發之年代與發展之階段演變而名,客家語,,位於錫福宮鄰近之街區，以第一市場為中心，包括今之大華、復華、光華、武營等街所圍成之區塊。,楊梅開發之初，整個商業與人文活動原就集中於楊梅溪東側，加上當時居民信仰中心之錫福宮又建廟於此，其繁榮發展自不待言。民國十八年(1929年)因鐵路改道，火車站由老街區北遷至現址，造就了附近楊新、大模、光復等新街的形成。久而居民於言談中為有別於新街區，原伯公山附近街區自然就稱其為老街了。故所謂老街者並非指的某一條街，而是泛指一街市。唯有了新街後，老街的熱鬧繁華並未就此沒落衰退，如今仍維持往昔的傳統市集景象，每日早市依舊車水馬龍，熙來攘往的人潮絲毫不減當年。,,人與地學訊,121.14441771607,24.907879294904,民國十八年(1929),迄今,Laojie,Laojie
伯公山,老人公園,桃園縣,楊梅鎮,,山丘,因地上之建物而名,客家語,,指今楊梅第一市?西側與楊梅溪間之小丘地。,土地公是客家聚落中最為普遍之保護神祇，客語稱呼伯公。清乾隆年間沿楊梅溪開墾楊梅壢時，在龜山下漸成聚落，尤其臨楊梅溪處山丘四周已然蔚為街市，因居民於丘上建有伯公祠，乃稱此山丘為伯公山。楊梅壢最早的市街(老街)即濫觴於其周圍。原土地公於民國初年與三界爺同入新建之錫福宮內，供善士奉祀膜拜。歷經歲月洗禮，山丘形狀已不甚明顯，丘上仍有五株(一說七株)百年以上的老榕樹、老樟樹聳立其間，平時為老人清談、下棋、弦歌休憩之處所。,,人與地學訊,121.14287630933,24.907200897239,清乾隆年間,迄今,"Bogong Mountain","Bogong Mountain"
錫福宮,楊梅三元宮,桃園縣,楊梅鎮,,寺廟,原址為福德祠，新名錫福既帶原名更含賜福地方、疼惜(客語詩歌中常借錫喻惜)子民之意。,客家語,,"廣義： 指今楊梅第一市?西側與楊梅溪間之伯公山上。","背景資料描述、地名沿革、歷史簡述、聚落型態、居民生活紀錄（文獻紀錄部分） 一直扮演著楊梅壢居民生活與信仰中心角色的錫福宮，其一路走來真是身世坎坷。楊梅壢開墾過程中，最早庇祐先民的三界爺，就是錫福宮內所奉祀的三官大帝。墾拓初期之三界爺多在先民家中供俸，隨著祭祀圈之擴大與經濟力增強，嘉慶十二(1807)年乃建廟於伯公山東側處(今武營街與大華街交界地) ，香火延續近百年。及至日本據台後，廟屋迭遭軍警強征佔用，毀損甚鉅，乃另覓得伯公山西麓之風水地重建。該地點原為土地伯公祠，故而在擲珓祈求伯公允許下，於大正元 (1912﹞年將兩廟合而為一興建，歷時五年竣工並將廟名更定為錫福宮。昭和十六﹝1941﹞年遭回祿後，於民國三十七年始重建，又逢國軍撤退來台，一切征作軍用，工程延宕至四十七年始完竣建醮。民國六十一年整修，彩繪樑柱、華飾外觀，增添不少要員名流之珍貴匾額、對聯。廟前廣?平日供小孩遊戲，節日供迎神賽會民俗表演。八十三年廟方管委會擬議拆除舊廟重建引發地方極大爭議，後仍於八十九年遭拆除，新廟迄今待建中。",,人與地學訊,121.14273673721,24.906838431741,日據大正元年(1912),迄今,"Xifu Temple","Sifu Temple"
弘淨寺,楊梅佛堂,桃園縣,楊梅鎮,,寺廟,弘揚佛法、淨化人心之意。,客家語,,在市場旁武營街下方的楊梅溪畔。,早在六0年代以前，許多虔誠信佛居士，每晚集合於市場街23號焚香念經。後因原址於五十九年拆建為大飯店，乃由楊運火先生發起，在臨楊梅溪畔的現址建廟，但六十一年完成第一層的「圓通寶殿」後，因逢楊梅禁建而一度歇工。此後即依各方捐款斷續施工至九十年始完竣成今貌。此寺原向政府暫登記名為「妙法道場」，但非道教壇觀。佛寺完成後正名為弘淨寺，外觀結構以鋼筋水泥建造成現代式閤樓，形式宏偉，加上組織化的經營管理，雖已嗅不出一絲舊日簡樸而不失莊嚴的小佛堂清幽。但楊梅民眾仍習慣稱它為「佛堂」，一直是楊梅人禮佛與精神寄託的重要地方。,,楊梅鎮寺廟查訪(黃厚源),121.1438336236,24.909883206014,近年以來,迄今,"Hongjing Temple","Hongjing Temple"
新街,,桃園縣,楊梅鎮,,聚落,"因時代演變與人文發展所產生對比差異而名 。",客家語,,指北起火車站迤南達今楊新路、大模路、光復路等涵蓋之區域，南約以大平街和老街區作界分。,"乾隆五十(1785)年楊梅壢開發伊始，百餘年間的人文活動、市集發展，全集中在龜山北麓至伯公山周圍一帶，原設於頭重溪之火車站，亦於光緒二十四(1898)年改設於該處，繁榮可見一般。及至民國十八(1929)年，車站北遷至今現址後，逐漸造就附近新的市街商圈(即今之楊新路、大模路、光復路一帶)乃以新街稱謂之，以區別於原繁華熱鬧之伯公山老街。於今聯通老街與新街之間的主要道路新成路，兩側早已商店林立，儼然楊梅之商業大道 。",,人與地學訊,121.14556524132,24.91229588644,"民國十八(1929) 年",迄今,Xinjie,Sinjie
